label	patch	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	shooterShare	I4gap	failed
A1 ri 12/9/7	phases=14-20-26|12-9-7|5:1/3:1/2:1	8	8	5	5		0.511	0.126	0.216	0.169	0	6.16	0.180		I2;I3;I8;I10
A1 ri 11/8/6	phases=14-20-26|11-8-6|5:1/3:1/2:1	8	4	1	1		0.638	0.168	0.255	0.215	0	8.02	0.184		I3;I8
A1 ri 10/8/6	phases=14-20-26|10-8-6|5:1/3:1/2:1	8	5	2	2		0.674	0.213	0.247	0.213	0	7.93	0.164		I3;I8
A1 ri 8/6/4	phases=14-20-26|8-6-4|5:1/3:1/2:1	3	0	0	0		1.082	0.318	0.500	0.264	0	15.21	0.181		skilled 8/8;I2;I2 windows
A1 ri 7/5/4	phases=14-20-26|7-5-4|5:1/3:1/2:1	0	0	0	0		1.249	0.415	0.768	0.066	0	20.57	0.175		skilled 8/8;I2;I2 windows
A1 ri 6/5/4	phases=14-20-26|6-5-4|5:1/3:1/2:1	0	0	0	0		1.236	0.521	0.687	0.028	0	25.35	0.177		skilled 8/8;I2;I2 windows
A2 cap 8/12/16	phases=8-12-16|9-7-5|5:1/3:1/2:1	7	2	0	0		0.857	0.258	0.353	0.246	0	10.36	0.177		skilled 8/8;I2;I8
A2 cap 10/16/22	phases=10-16-22|9-7-5|5:1/3:1/2:1	7	2	0	0		0.877	0.258	0.353	0.266	0	10.65	0.177		skilled 8/8;I2;I8
A2 cap 12/18/24	phases=12-18-24|9-7-5|5:1/3:1/2:1	7	2	0	0		0.882	0.258	0.353	0.271	0	10.73	0.176		skilled 8/8;I2;I8
A2 cap 16/22/28	phases=16-22-28|9-7-5|5:1/3:1/2:1	7	1	0	0		0.891	0.258	0.353	0.280	0	10.79	0.176		skilled 8/8;I2;I8
A2 cap 18/24/30	phases=18-24-30|9-7-5|5:1/3:1/2:1	7	1	0	0		0.894	0.258	0.353	0.283	0	10.83	0.174		skilled 8/8;I2;I8
A2 cap 20/28/36	phases=20-28-36|9-7-5|5:1/3:1/2:1	7	1	0	0		0.904	0.258	0.353	0.294	0	10.97	0.174		skilled 8/8;I2;I8
A3 engage 7	engageRadius=7 spawnRadius=10	3	2	0	0		1.057	0.316	0.351	0.389	0	9.89	0.153		skilled 8/8;I2;I8
A3 engage 8	engageRadius=8 spawnRadius=11	4	0	0	0		1.049	0.293	0.399	0.358	0	10.69	0.166		skilled 8/8;I2
A3 engage 9	engageRadius=9 spawnRadius=12	4	1	0	0		1.018	0.270	0.379	0.369	0	10.63	0.169		skilled 8/8;I2;I8
A3 engage 11	engageRadius=11 spawnRadius=14	8	0	0	0		0.843	0.247	0.318	0.277	0	11.68	0.200		I2
A3 engage 12	engageRadius=12 spawnRadius=15	8	3	1	2		0.866	0.227	0.335	0.304	0	12.42	0.191		I2;I3;I8
A3 engage 13	engageRadius=13 spawnRadius=16	7	3	2	2		0.806	0.220	0.300	0.286	0	13.47	0.208		skilled 8/8;I2;I3;I8
A4 spawn 12	spawnRadius=12	4	1	0	0		1.038	0.270	0.379	0.389	0	10.72	0.169		skilled 8/8;I2;I8
A4 spawn 14	spawnRadius=14	8	0	0	0		0.851	0.247	0.318	0.286	0	11.79	0.201		I2
A4 spawn 15	spawnRadius=15	7	2	1	2		0.894	0.227	0.335	0.332	0	12.75	0.192		skilled 8/8;I2;I3;I8
A4 spawn 16	spawnRadius=16	7	3	2	2		0.823	0.220	0.300	0.303	0	13.74	0.205		skilled 8/8;I2;I3;I8
A4 spawn 18	spawnRadius=18	6	3	2	2		0.877	0.202	0.332	0.343	0	15.44	0.188		skilled 8/8;I2;I3;I8
A5 mix 8:1/5:1/3:1	phases=14-20-26|9-7-5|8:1/5:1/3:1	6	1	0	0		1.013	0.244	0.401	0.367	0	10.80	0.111		skilled 8/8;I2;I8
A5 mix 3:1/2:1/3:2	phases=14-20-26|9-7-5|3:1/2:1/3:2	5	1	0	0		0.910	0.255	0.335	0.320	0	11.52	0.251		skilled 8/8;I2;I8
A5 mix 2:1/3:2/1:1	phases=14-20-26|9-7-5|2:1/3:2/1:1	8	2	0	1		0.841	0.243	0.308	0.290	0	11.84	0.304		I2;I8
A5 mix 1:1/1:1/1:1	phases=14-20-26|9-7-5|1:1/1:1/1:1	8	1	1	1		0.727	0.207	0.291	0.229	0	11.79	0.390		I3;I8
A6 abscap 45	absoluteEnemyCap=45	7	1	0	0		0.886	0.258	0.353	0.276	0	10.74	0.175		skilled 8/8;I2;I8
A6 abscap 50	absoluteEnemyCap=50	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A6 abscap 70	absoluteEnemyCap=70	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A6 abscap 80	absoluteEnemyCap=80	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A6 abscap 100	absoluteEnemyCap=100	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
