label	patch	stage	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	meanEnd	meanStanding	shooterShare	I4gap	campDone	campCleared	failed
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2003	2.88	0.201				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2003	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2003	2.88	0.201				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2003	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2002	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.180	0.310	0.568	0.302	0	15.92	2003	2.88	0.201				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c15-21-27 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.181	0.310	0.568	0.302	0	15.93	2003	2.88	0.202				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.568	0.306	0	15.99	2009	2.88	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.304	0	15.98	2006	2.88	0.198				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.567	0.306	0	15.97	2012	2.88	0.200				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.305	0	15.96	2011	2.88	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.568	0.306	0	15.99	2009	2.88	0.199				I2;I2 windows;I8
